Age,Location,Gender,Job,Year
22,Dublin,Male,Research,2015
18,Dublin,Female,Administrator,2019
39,Dublin,Female,Administrator,2020
34,Dublin,Female,Doctors,2015
23,Leinster,Female,IT Engineer,2019
33,Galway,Female,DataScientist,2020
33,Leinster,Female,DataScientist,2018
77,Cork,Female,Research,2017
45,Leinster,Female,IT Engineer,2018
33,Leinster,Male,DataScientist,Leinster
36,Leinster,Female,DataScientist,2019
38,Limerick,Female,IT Engineer,2018
42,Limerick,Female,DataScientist,2018
22,Cork,Male,DataScientist,2018
45,Limerick,Female,IT Engineer,2017
